plane_274.dcm [[-0.5, 1035.5, 0.0], [1315.5, 1035.5, 0.0], [-0.5, -0.5, 0.0], [1315.5, -0.5, 0.0]]
plane_280.dcm [[-0.5, 1035.5, 30.0], [1315.5, 1035.5, 30.0], [-0.5, -0.5, 30.0], [1315.5, -0.5, 30.0]]
plane_286.dcm [[-0.5, 1035.5, 60.0], [1315.5, 1035.5, 60.0], [-0.5, -0.5, 60.0], [1315.5, -0.5, 60.0]]
plane_292.dcm [[-0.5, 1035.5, 90.0], [1315.5, 1035.5, 90.0], [-0.5, -0.5, 90.0], [1315.5, -0.5, 90.0]]
plane_298.dcm [[-0.5, 1035.5, 120.0], [1315.5, 1035.5, 120.0], [-0.5, -0.5, 120.0], [1315.5, -0.5, 120.0]]
plane_304.dcm [[-0.5, 1035.5, 150.0], [1315.5, 1035.5, 150.0], [-0.5, -0.5, 150.0], [1315.5, -0.5, 150.0]]
plane_310.dcm [[-0.5, 1035.5, 180.0], [1315.5, 1035.5, 180.0], [-0.5, -0.5, 180.0], [1315.5, -0.5, 180.0]]
plane_316.dcm [[-0.5, 1035.5, 210.0], [1315.5, 1035.5, 210.0], [-0.5, -0.5, 210.0], [1315.5, -0.5, 210.0]]
plane_322.dcm [[-0.5, 1035.5, 240.0], [1315.5, 1035.5, 240.0], [-0.5, -0.5, 240.0], [1315.5, -0.5, 240.0]]
plane_328.dcm [[-0.5, 1035.5, 270.0], [1315.5, 1035.5, 270.0], [-0.5, -0.5, 270.0], [1315.5, -0.5, 270.0]]
plane_334.dcm [[-0.5, 1035.5, 300.0], [1315.5, 1035.5, 300.0], [-0.5, -0.5, 300.0], [1315.5, -0.5, 300.0]]
plane_340.dcm [[-0.5, 1035.5, 330.0], [1315.5, 1035.5, 330.0], [-0.5, -0.5, 330.0], [1315.5, -0.5, 330.0]]
plane_346.dcm [[-0.5, 1035.5, 360.0], [1315.5, 1035.5, 360.0], [-0.5, -0.5, 360.0], [1315.5, -0.5, 360.0]]
plane_352.dcm [[-0.5, 1035.5, 390.0], [1315.5, 1035.5, 390.0], [-0.5, -0.5, 390.0], [1315.5, -0.5, 390.0]]
plane_358.dcm [[-0.5, 1035.5, 420.0], [1315.5, 1035.5, 420.0], [-0.5, -0.5, 420.0], [1315.5, -0.5, 420.0]]
plane_364.dcm [[-0.5, 1035.5, 450.0], [1315.5, 1035.5, 450.0], [-0.5, -0.5, 450.0], [1315.5, -0.5, 450.0]]
plane_370.dcm [[-0.5, 1035.5, 480.0], [1315.5, 1035.5, 480.0], [-0.5, -0.5, 480.0], [1315.5, -0.5, 480.0]]
plane_376.dcm [[-0.5, 1035.5, 510.0], [1315.5, 1035.5, 510.0], [-0.5, -0.5, 510.0], [1315.5, -0.5, 510.0]]
plane_382.dcm [[-0.5, 1035.5, 540.0], [1315.5, 1035.5, 540.0], [-0.5, -0.5, 540.0], [1315.5, -0.5, 540.0]]
plane_388.dcm [[-0.5, 1035.5, 570.0], [1315.5, 1035.5, 570.0], [-0.5, -0.5, 570.0], [1315.5, -0.5, 570.0]]
plane_394.dcm [[-0.5, 1035.5, 600.0], [1315.5, 1035.5, 600.0], [-0.5, -0.5, 600.0], [1315.5, -0.5, 600.0]]
plane_400.dcm [[-0.5, 1035.5, 630.0], [1315.5, 1035.5, 630.0], [-0.5, -0.5, 630.0], [1315.5, -0.5, 630.0]]
